Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
01/11/2015,-3,1,-5,3,3
31/10/2015,-3,1,-5,13,3
30/10/2015,-2,3,-5,33,4
29/10/2015,-2,2,-5,42,5
28/10/2015,-3,1,-5,18,2
27/10/2015,-2,3,-5,39,4
26/10/2015,-3,-1,-5,47,7
25/10/2015,-2,2,-5,8,4
24/10/2015,1,5,-4,6,1
23/10/2015,1,5,-4,22,2
22/10/2015,-2,3,-5,34,4
21/10/2015,-2,2,-5,36,4
20/10/2015,-3,1,-5,27,3
19/10/2015,-3,2,-5,30,5
18/10/2015,-4,-3,-5,11,3
17/10/2015,-3,2,-5,5,2
16/10/2015,-1,3,-5,36,4
15/10/2015,-2,1,-5,50,6
14/10/2015,-3,-1,-5,49,6
13/10/2015,-2,2,-5,81,10
12/10/2015,-1,4,-4,39,8
11/10/2015,3,5,-2,11,5
10/10/2015,-1,3,-5,18,5
09/10/2015,-1,4,-5,46,6
08/10/2015,1,5,-3,49,6
07/10/2015,1,5,-3,78,10
06/10/2015,-1,4,-4,74,9
05/10/2015,1,4,-4,75,10
04/10/2015,-3,1,-5,14,6
03/10/2015,0,0,0,0,0
02/10/2015,-1,4,-5,28,5
01/10/2015,-1,4,-5,31,6
30/09/2015,-2,3,-5,46,9
29/09/2015,-2,2,-5,36,7
28/09/2015,-3,-1,-5,20,6
27/09/2015,-3,1,-5,3,4
26/09/2015,0,0,0,0,0
25/09/2015,-1,4,-5,28,5
24/09/2015,-2,2,-5,23,4
23/09/2015,-3,2,-5,33,7
22/09/2015,-1,3,-5,22,4
21/09/2015,-2,2,-5,47,10
20/09/2015,-3,2,-5,11,10
19/09/2015,0,0,0,0,0
18/09/2015,-2,2,-5,34,7
17/09/2015,2,5,-3,30,6
16/09/2015,-1,4,-5,38,8
15/09/2015,-2,2,-5,47,10
14/09/2015,-2,3,-5,35,10
13/09/2015,0,0,0,0,0
12/09/2015,0,0,0,0,0
11/09/2015,0,0,0,0,0
10/09/2015,0,0,0,0,0
09/09/2015,0,0,0,0,0
08/09/2015,0,0,0,0,0
